title,id,genre,caption,description,permalink_url,download_count,last_modified,artwork_url,created_at,track_format,kind
Firestarter,248213888,Cinematic,,,https://soundcloud.com/mindthings/firestarter,0.0,2021-06-22T10:29:35Z,https://i1.sndcdn.com/artworks-000148077293-ay0obf-large.jpg,2016-02-21T20:33:40Z,single-track,track
Tea Leaves At The Botton Of A Cup,184149449,Bruno Sanfilippo,,"'INSIDE LIFE' CD & Digital available > https://ampl.ink/vPY63
Cello: Julián Kancepolski
Analog Mastered by Ian Hawgood · Tokio
Artwork & layout CD by Andy Ruggia · Buenos Aires
""Inside Life immerses the listener into magnificently expressive modern classical realms, tranquilly minimal, yet exquisitely nuanced, abundantly poignant and delicately filigree, where stirringly pensive sadness is masterfully counterpointed with hauntingly embracing stillness, while intensely evocative ambient subtleties are deliberately permeated by yearning haze. A truly fabulous bravura performance by Bruno Sanfilippo and his guests!""  
Bruno is an Argentinian classically trained musician, producer, and composer based in Barcelona who writes for strings, piano, and electronics.  In 1998 he started as a producer for ad21, a personal platform and label. His Piano Textures series, started in 2007, is one of Sanfilippo’s most representative set of recordings, but he has also gained wider recognition in modern music – one of his piano compositions formed the basis for Canadian rapper Drake’s seminal hit, ‘Started From The Bottom’.
www.bruno-sanfilippo.com",https://soundcloud.com/bruno_sanfilippo/tea-leaves-at-the-botton-of-a-cup,493.0,2021-09-16T14:34:49Z,https://i1.sndcdn.com/artworks-000102044544-aenebr-large.jpg,2015-01-02T13:42:00Z,single-track,track
Dreams,227241119,Neo-Classical,,,https://soundcloud.com/sten-erland-hermundstad/dreams-free-download-1,7060.0,2021-10-20T17:03:37Z,https://i1.sndcdn.com/artworks-000131922611-rbnhgk-large.jpg,2015-10-06T22:50:29Z,single-track,track
Shifting,249707171,felt piano,,,https://soundcloud.com/michaelmcdonald/shifting,0.0,2021-09-23T06:27:55Z,https://i1.sndcdn.com/artworks-000149263737-6mtfue-large.jpg,2016-03-01T20:13:33Z,single-track,track
A Cerulean State -  In that very moment,251367087,Modern Classical,,"Hope you'll enjoy!
Please 'Repost' if you deem it worthy!
Spotify: open.spotify.com/artist/3zZFuygq2bubBNoZkpArom
Free Wav/mp3/flac/Ogg/etc: https://aceruleanstate.bandcamp.com/album/singles-2016
Facebook: https://www.facebook.com/aCeruleanState
Twitter: https://twitter.com/aCeruleanState
Sheet music (PDF, MIDI,etc): https://musescore.com/user/5451701
Youtube: www.youtube.com/user/aCeruleanStateMusic

Artwork: http://www.pixiv.net/member_illust.php?mode=medium&illust_id=32467736",https://soundcloud.com/aceruleanstate/in-that-very-moment,1613.0,2021-07-27T16:38:04Z,https://i1.sndcdn.com/artworks-000150524076-7uhkkh-large.jpg,2016-03-11T16:58:10Z,single-track,track
SHINE,529043073,Trap,,,https://soundcloud.com/sha-smoak/shine,0.0,2021-09-21T16:35:51Z,https://i1.sndcdn.com/artworks-000439008636-bxvbk9-large.jpg,2018-11-13T02:22:06Z,single-track,track
i'ma get you,342091086,R&B & Soul,,"new single from my debut project ""direct line to My Creator""

<3 !!! hope you enjoy
art by Monica Hernandez
www.instagram.com/monicagh_

DOWNLOAD SAMPLE PACK # 2: http://duendita.com

---

baby believe, i’ma get you before the grim reaper get me
i’ma come thru i wanna see that ass on bended knee
beg to me, you know i set you free
grew a garden for you, that’s what you meant to me
especially when you’d come over on a late night
smoke in your eyes too divine you were all mine

no, i don’t want to hold your hand
(no no i won’t even try, too divine too divine, i’m running through your mind)
no, i want you to understand me

come correct, show respect, i’m the one
you’re just another underneath the sun
bed full of sadness, ashes, paradise
i’m done wiping the evil from beneath your eyes

i’m with God, He’s with me, Lord on high
so you should think twice before you waste our time
running in circles, save your appetite
i’m done feeding this fever, boy you’re out of line

no, i don’t want to hold your hand
(no no i won’t even try, too divine too divine, i’m running through your mind)
no, i want you to understand me",https://soundcloud.com/duendita/ima-get-you,0.0,2021-09-24T18:03:55Z,https://i1.sndcdn.com/artworks-000300082206-cupvz3-large.jpg,2017-09-12T21:40:07Z,single-track,track
Tabby Night,536980308,Hip-hop & Rap,,"Listen: http://smarturl.it/tabbynight

Tabby Wakes - Tabby Night
prod. Brenmar & Tabby Wakes",https://soundcloud.com/tabby-wakes/tabby-night,0.0,2021-09-24T18:03:55Z,https://i1.sndcdn.com/artworks-000449082528-va7cqp-large.jpg,2018-11-28T23:57:14Z,single-track,track
Top Shelf (feat. Bipolar Sunshine),525541542,Electronic,,,https://soundcloud.com/whethan/top-shelf-feat-bipolar,0.0,2021-09-26T22:13:42Z,https://i1.sndcdn.com/artworks-CGC70nB3hU5o-0-large.jpg,2018-11-06T08:41:36Z,single-track,track
Leverage,499028460,Hip-hop/Rap,,,https://soundcloud.com/kirkknight/leverage-1,0.0,2021-02-28T01:33:41Z,https://i1.sndcdn.com/artworks-P8UfGBJ9F1pM-0-large.jpg,2018-09-12T20:22:07Z,single-track,track
End Like That,522067131,Rap,,,https://soundcloud.com/kodieshane/end-like-that,0.0,2021-09-27T14:01:30Z,https://i1.sndcdn.com/artworks-pboaWUT7fQw7-0-large.jpg,2018-10-30T09:21:27Z,single-track,track
Velvet Negroni - First Time,496012194,Alternative,,"Velvet Negroni- ""First Time""
Produced by: Elliot Kozel & Psymun
Bass: Dylan Wiggins 
Artwork: Elena Flores
2018/ B4 Sounds

#SCFirst",https://soundcloud.com/velvetnegroni/first-time,0.0,2021-01-05T06:18:43Z,https://i1.sndcdn.com/artworks-FBeLbzSjeSxM-0-large.png,2018-09-06T13:21:56Z,single-track,track
If You Ever,512420211,R&B,,,https://soundcloud.com/thisnao/if-you-ever,0.0,2021-09-27T15:53:04Z,https://i1.sndcdn.com/artworks-CDL50XTmeM5v-0-large.jpg,2018-10-10T19:17:34Z,single-track,track
Before You Get a Boyfriend,482458263,Hip-hop & Rap,,,https://soundcloud.com/phonyppl/before-you-get-a-boyfriend,0.0,2021-04-01T22:34:09Z,https://i1.sndcdn.com/artworks-000434589798-ku6zah-large.jpg,2018-08-07T20:04:49Z,single-track,track
On The Spot,492354639,Hip-hop & Rap,,"ON THE SPOT OUT NOW

https://www.instagram.com/wavgotdrip/
https://twitter.com/wavgotdrip
https://www.facebook.com/wavgotdrip/",https://soundcloud.com/wavgotdrip/on-the-spot,0.0,2021-03-20T12:04:07Z,https://i1.sndcdn.com/artworks-000646851598-jqfhs5-large.jpg,2018-08-29T16:51:11Z,single-track,track
Player Way (feat. Wiz Khalifa) (prod. by ID Labs and Big Jerm),502685979,Hip-hop & Rap,,,https://soundcloud.com/warmbrew/player-way-feat-wiz-khalifa,0.0,2021-01-05T06:27:36Z,https://i1.sndcdn.com/artworks-000408499782-cbk9ih-large.jpg,2018-09-20T17:51:03Z,single-track,track
No Smoke,504627969,Rap/Hip Hop,,"Get this song here: https://Hitco.lnk.to/NoSmoke 

#SCFirst",https://soundcloud.com/klondikeblonde/no-smoke,0.0,2021-04-29T01:13:02Z,https://i1.sndcdn.com/artworks-zHsroiBXSpzG-0-large.jpg,2018-09-24T20:36:57Z,single-track,track
Doomsday (feat. lodato),472876914,Electronic,,"VASSY x Lodato - Doomsday [OUT NOW] 
▶️  GET THE SINGLE: http://smarturl.it/VASSYLodato-Doomsday
🎬 OFFICIAL MUSIC VIDEO: http://bit.ly/DoomsdayLV

'Doomsday’ came together organically. Lodato and I have been friends for some time. Iv always admired his work so when we got into the studio one day to work on something else he showed me this track and it seemed like the right opportunity to collaborate. I’m really excited to put this record out for you all to hear thru my very first label KMV an imprint with Sony Music. 
------------------------------------------------------------
VASSY is continuing her impressive momentum with a brand-new summer single arriving just in time for peak festival season. Having teamed up with award-winning producer Lodato, the duo delivers their new collaboration ‘Doomsday’ – out now via her very own KMV imprint through Sony Music. 

Connect with VASSY 
http://www.vassymusic.com 
http://www.instagram.com/VASSY 
http://www.facebook.com/VASSY 
http://www.twitter.com/VASSY 
http://www.soundcloud.com/VASSY 
http://bit.ly/YouTube-VASSY

Connect with Lodato 
http://www.djlodato.com 
http://www.instagram.com/djlodato 
http://www.facebook.com/djlodato 
http://www.twitter.com/djlodato 
http://www.soundcloud.com/djlodato",https://soundcloud.com/vassy/doomsday-feat-lodato,0.0,2020-09-14T10:05:59Z,https://i1.sndcdn.com/artworks-eztFFmj1jH6R-0-large.jpg,2018-07-17T14:06:18Z,single-track,track
Poppy - Time Is Up (feat. Diplo),486061740,Pop,,"Stream/Download: maddecent.fm/AmIAGirl 
Pre-Order Am I A Girl?: http://maddecent.fm/amiagirlshop 
Follow Mad Decent Weekly on Spotify: http://maddecent.fm/mdweekly 
Subscribe to Mad Decent on YouTube: http://www.maddecent.fm/youtube 

Multi-faceted artist Poppy and multi-platinum selling DJ/producer Diplo release their new single for the soon to be much talked about “Time Is Up.” The single is the latest off of Poppy’s forthcoming album via I’m Poppy Records/Mad Decent. 

Additional production by Vaughn Oliver.

FOLLOW POPPY
Facebook: https://www.facebook.com/Poppy 
Twitter: https://twitter.com/poppy 
SoundCloud: https://soundcloud.com/poppy 
Instagram: https://www.instagram.com/impoppy 
Web: https://poppy.wun.io/store 
YouTube: https://www.youtube.com/Poppy 

FOLLOW DIPLO
Facebook: http://www.facebook.com/diplo 
Twitter: http://www.twitter.com/diplo 
SoundCloud: http://soundcloud.com/diplo 
Instagram: http://www.instagram.com/diplo 
Web: http://diplo.com 
YouTube: https://www.youtube.com/diplo 

FOLLOW MAD DECENT 
Facebook: https://www.facebook.com/maddecent
Twitter: https://www.twitter.com/maddecent
SoundCloud: https://soundcloud.com/maddecent
Instagram: https://www.instagram.com/maddecent
Web: https://www.maddecent.com
YouTube: https://www.maddecent.lnk.to/YouTube",https://soundcloud.com/maddecent/poppy-time-is-up-feat-diplo,0.0,2021-09-08T12:26:55Z,https://i1.sndcdn.com/artworks-000447698448-g7avi3-large.jpg,2018-08-15T21:31:48Z,single-track,track
Park At 14th (Prod. By Topper Atwood),485998623,Hip-hop & Rap,,"https://youtu.be/Oy0dERDm338

With his much anticipated ‘Sleep When I Die’ EP dropping Aug 31, Lightshow shares the super-hype new single, “Park at 14th,” produced by Topper Atwood!",https://soundcloud.com/welcometothelightshow/parkat14th,,2020-09-01T08:39:16Z,https://i1.sndcdn.com/artworks-000389569068-nqltu3-large.jpg,2018-08-15T18:56:14Z,single-track,track
dancefloor,529934634,R&B & Soul,,,https://soundcloud.com/marcosgeee/dancefloor,0.0,2021-10-27T07:31:40Z,https://i1.sndcdn.com/artworks-000615129577-rob1h7-large.jpg,2018-11-14T19:51:59Z,single-track,track
IN THE BEGINNING,708200431,Hip-hop & Rap,,,https://soundcloud.com/onefour70/in-the-beginning,0.0,2021-10-27T07:31:40Z,https://i1.sndcdn.com/artworks-000629897836-6cg37b-large.jpg,2019-11-05T13:28:10Z,single-track,track
This and That,599943702,R&B & Soul,,"IG: @journeeofficial
Official Music Video: https://youtu.be/giNdod41QCY

I really don’t understand how 
You got me questionin my purpose 
I coulda made you a man 
But maybe you didn’t deserve it 
You jus gon scroll thru the gram 
Instead of cherishing our moments 
You jus can’t do what I ask 
And you don't even last 
When you know that I want it 

But you know that
And you just hold back 
Why you be on that 
You say you love me 
Then you just fall back 
What you call that 
Silly ass nigga 
Goofy ass nigga 
Boy you all that 
Love and loyalty 
Consistency
I need all that 

So If you cant pop a gun for me 
Then maybe you're not the one for me 
If you're more focused on 
What that girl doin or
This girl and that girl 
Then baby jus be done wit me 
If you can't pop a gun for me 
Then maybe you're not the one for me 
If you're more focused on 
what that girl doin or
This girl and that girl 
Then baby jus be done wit me 

Cuz I gotta put you on standby 
I ain’t tryna tell you again babe 
You needa act right 
I don’t need opinions 
I don’t need yo advice 
Worried bout who up in my dm’s
When I don’t even read them cuz 
I’m wit you 
But you know that 
You just hold back 
You say you love me 
But you just hurt me 
Then you fall back 
Silly ass nigga 
goofy ass nigga 
Boy you all that 
Love and loyalty 
Consistency
I need all that 

So If you cant pop a gun for me 
Then maybe you're not the one for me 
If you're more focused on 
what that girl doin or
This girl and that girl 
Then baby just be done wit me 
If you can't pop a gun for me 
Then maybe you're not the one for me 
If you're more focused on 
what that girl doin or
This girl and that girl 
Then baby just be done wit me 

I Need someone loyal (yeah)
Can’t keep waiting for ya
I Need someone loyal 
and if you ain’t let me go (and if you ain’t let me go )

So If you cant pop a gun for me 
Then maybe you're not the one for me 
If you're more focused on 
what that girl doin or
This girl and that girl 
Then baby just be done wit me 
If you can't pop a gun for me 
Then maybe you're not the one for me 
If you're more focused on 
what that girl doin or
This girl and that girl 
Then baby just be done wit me",https://soundcloud.com/journee/this-and-that,0.0,2021-09-08T12:29:13Z,https://i1.sndcdn.com/artworks-000514084905-jfa9l7-large.jpg,2019-04-02T19:23:10Z,single-track,track
hey ya,655598708,,,,https://soundcloud.com/yergurl/hey-ya-cover-unmastered,0.0,2021-03-25T02:30:18Z,https://i1.sndcdn.com/artworks-000596858372-7uh59p-large.jpg,2019-07-24T06:03:18Z,single-track,track
Idea of Me,669891785,Pop,,theeeee music video: https://www.youtube.com/watch?v=XYLKYHDaVlk,https://soundcloud.com/yullola/ideaofme,0.0,2021-03-25T02:30:18Z,https://i1.sndcdn.com/artworks-000609476728-buaww7-large.jpg,2019-08-23T10:02:28Z,single-track,track
what did yøu think i meant when i said i løve yøu [prød. bl4ckgu1ch],407813028,still in love,,"OFFICIAL MUSIC VIDEO: https://www.youtube.com/watch?v=P30f0721ALo

""only one girl i ever loved and it was you"" - cøzy </3

i love @bl4ckgu1ch beats <3

pretty picture by @urhentaigirl on ig <3

––––––––––– words –––––––––––
HOOK
i used to wonder why you dont go
baby girl i’m so low
i been missing every single moment in that photo
i been missing every single text you sent with xo
why didn’t you say so
every time i messed up
every time i broke a promise
every time you dressed up
babe i wish you spoke up
wish i never woke up
without you by my side
wish we never broke up

dealing with these slow cuts
guess i like the pain
blood soaked sheets
fuck i hope it doesn’t stain
momma gonna kill me if she see this shit again
floating through the city like i got nothing to gain
hoping that it rains
i’m just hoping that it rains

BRIDGE
it’s getting hard to stay and i dont know what else to do
only one girl i ever loved and it was you
i’m tryna get through
i’m just tryna get through
cozyboy crying over shit he can’t undo",https://soundcloud.com/cozyboycries/what-did-you-think,0.0,2021-04-04T00:51:31Z,https://i1.sndcdn.com/artworks-000310298205-pkmy5j-large.jpg,2018-03-02T22:55:27Z,single-track,track
Live In This Moment,691947055,Hip-hop & Rap,,,https://soundcloud.com/jakob-campbell-1/live-in-this-moment-1,88.0,2021-03-30T15:13:09Z,https://i1.sndcdn.com/artworks-000608520622-2abdro-large.jpg,2019-10-06T20:38:28Z,single-track,track
LOONEYTUNESFREESTYLE w/ Lil Satan [Prod. Tokyo & Cliiifford],673093331,Hip-hop & Rap,,"we made this beat with a FUCKING VIOLIN LMAOOOOOOOOOOOO 


anyways follow my instagram or ur aunt might get leukemia @kyotosrevenge",https://soundcloud.com/tokyosrevenge/lmaooooooo,0.0,2021-10-30T02:44:57Z,https://i1.sndcdn.com/artworks-000589691948-bh166e-large.jpg,2019-08-30T03:59:58Z,single-track,track
LEMONADE (prod Chris Surreal + Charlie Shuffler),606084138,neilaworld,,mixed by JStacksBeats,https://soundcloud.com/belisgo/lemonade,0.0,2021-10-04T03:52:59Z,https://i1.sndcdn.com/artworks-i3mPoP6GUgZompUu-3PvOFg-large.jpg,2019-04-15T00:06:45Z,single-track,track
DISTANCE,635033532,Hip-hop & Rap,,"Written by Che Lingo

Produced by Kadiata

YouTube: https://www.youtube.com/channel/UCpdDikStUJkt5YPZwG9929Q?view_as=subscriber (Subscribe)

Follow Che Lingo on Socials Media: 

IG: https://www.instagram.com/Che_Lingo 
Twitter: https://www.twitter.com/Che_Lingo
Facebook: https://www.facebook.com/CheLingoOnline",https://soundcloud.com/che_lingo/distance-master-new,0.0,2021-09-19T23:11:53Z,https://i1.sndcdn.com/artworks-000604249474-11c3gl-large.jpg,2019-06-11T13:13:38Z,single-track,track
Pull Me Up,663245744,Hip-hop & Rap,,"Produced by @DrewDamen
Written by @NessHeads
Mixed by Alex @Papibeatz Baez
Mastered by Glenn Shick

Follow Ness Heads
Instagram: www.instagram.com/nessheads/
Twitter: twitter.com/Nessheads
Facebook: www.facebook.com/NessHeads/
Spotify: open.spotify.com/artist/6fS4Lmzu6…c_TLisIxB7uVSO9g
Apple Music: itunes.apple.com/us/artist/ness-heads/1405361342
Tidal: tidal.com/artist/10022746",https://soundcloud.com/nessheads/pull-me-up,0.0,2021-03-25T02:30:18Z,https://i1.sndcdn.com/artworks-000622082242-7lsqy3-large.jpg,2019-08-09T01:56:20Z,single-track,track
@lilplayah feat. @poorstacy - lately (prod. @thecxdy & @etrou_ ),677815884,Hip-hop & Rap,,,https://soundcloud.com/lil-playah/lilplayah-feat-poorstacy-lately-prod-thecxdy,0.0,2021-10-24T21:19:04Z,https://i1.sndcdn.com/artworks-000594458325-z8k1vm-large.jpg,2019-09-07T22:07:39Z,single-track,track
Down Bad (prod. CorMill),633003996,Hip-hop & Rap,,"When I was down bad i was all that I had!
Prod. By CorMill
If you ever struggled and had to pick yaself up this track is for you!
Features/Bookings: 2FloodyMGMT@gmail.com
IG: @2Floody",https://soundcloud.com/2floody/down-bad-prod-cormill,0.0,2021-10-19T08:37:08Z,https://i1.sndcdn.com/artworks-000548087475-yrnlly-large.jpg,2019-06-07T04:08:31Z,single-track,track
We Made The Same feat. Tala Ashe and Nandi Marie MUSIC VIDEO IN DESCRIPTION,677459394,Hip-hop & Rap,,"MUSIC VIDEO : https://www.youtube.com/watch?v=0InC65Aotwg

Follow Jallal

https://www.instagram.com/jallalvii/
https://www.facebook.com/jallalist
https://soundcloud.com/jallal
http://www.jallal.com/




Produced by J. Walker and Killa- J
Mixed by Jan Fairchild",https://soundcloud.com/jallal/we-made-the-same-feat-tala-ashe-and-nandi-marie,0.0,2021-02-22T18:08:38Z,https://i1.sndcdn.com/artworks-000594048132-pnk7en-large.jpg,2019-09-07T01:18:54Z,single-track,track
Panda Eyes - Exodus,673394333,,,welcome to the exodus..,https://soundcloud.com/officialpandaeyes/panda-eyes-exodus,0.0,2021-10-31T09:51:39Z,https://i1.sndcdn.com/artworks-000593902242-6c8slu-large.jpg,2019-08-30T19:19:49Z,single-track,track
قمرٌ سيدنا النبى - مصطفى عاطف,76282012,,,"تقدروا تحملو  الانشوده من هنا :) 

http://www.mediafire.com/?e5r9nznu0i98j5i",https://soundcloud.com/leljanaah/filncpkdiltj,100.0,2021-09-08T06:03:34Z,https://i1.sndcdn.com/artworks-000039073209-xxolyp-large.jpg,2013-01-24T16:50:08Z,single-track,track
قمر سيدنا النبى,76902308,,,,https://soundcloud.com/nour-el-houda-4/ufpfwsw7fhsu,0.0,2021-10-30T20:21:27Z,https://i1.sndcdn.com/artworks-000039507206-c7jcjj-large.jpg,2013-01-29T02:04:15Z,single-track,track
ياريتنــي يارب عشت زمـان,125933861,يارب,,,https://soundcloud.com/a7medsaeed/f8hknlymdvjf,0.0,2013-12-21T21:31:54Z,https://i1.sndcdn.com/artworks-000065962022-3w0g85-large.jpg,2013-12-21T21:31:53Z,single-track,track
